"Dates"	"Value"	"Modif"
2005-11-23	23.2145984613349	"SI"
2005-11-24	23.2631568785625	"SI"
2005-11-25	22.8964523765744	"SI"
2005-11-26	23.257050287554	"SI"
2005-11-27	23.6548033412667	"SI"
2005-11-28	23.3502437523982	"SI"
2005-11-29	24.0488421465981	"SI"
2005-11-30	23.647322268578	"SI"
2005-12-01	22.250558877624	"SI"
2005-12-02	23.1993707276244	"SI"
2005-12-03	22.637714796791	"SI"
2005-12-04	23.0055496024437	"SI"
2005-12-05	22.7517336765292	"SI"
2005-12-06	22.8323937518699	"SI"
2005-12-07	20.4496840167782	"SI"
2005-12-08	21.6004317819984	"SI"
2005-12-09	22.9734371594261	"SI"
2005-12-10	22.9078913797851	"SI"
2005-12-11	22.255144132574	"SI"
2005-12-12	22.355893741846	"SI"
2005-12-13	21.1959616323287	"SI"
2005-12-14	20.9898332680874	"SI"
2005-12-15	21.6313087560805	"SI"
2005-12-16	22.6406806218167	"SI"
2005-12-17	22.6457886421012	"SI"
2005-12-18	22.460081746312	"SI"
2005-12-19	22.7629890664738	"SI"
2005-12-20	22.9633338330956	"SI"
2005-12-21	23.5507223237604	"SI"
2005-12-22	22.5795341826659	"SI"
2005-12-23	23.3067740327237	"SI"
2005-12-24	23.2151692992235	"SI"
2005-12-25	22.5679023840455	"SI"
2005-12-26	22.9402539482732	"SI"
2005-12-27	22.2010187105216	"SI"
2005-12-28	23.5650843658395	"SI"
2005-12-29	23.5782532571129	"SI"
2005-12-30	22.068224457906	"SI"
2005-12-31	21.7041433186264	"SI"
2006-01-01	22.1759269213981	"SI"
2006-01-02	22.2068591674529	"SI"
2006-01-03	22.2145153614827	"SI"
2006-01-04	22.7839595416038	"SI"
2006-01-05	22.780758872394	"SI"
2006-01-06	22.9276576939415	"SI"
2006-01-07	22.5966527882483	"SI"
2006-01-08	21.9841195074848	"SI"
2006-01-09	22.3767075788579	"SI"
2006-01-10	23.1561722894292	"SI"
2006-01-11	22.7196978516949	"SI"
2006-01-12	22.5777349291958	"SI"
2006-01-13	23.0187006460915	"SI"
2006-01-14	23.0665714356195	"SI"
2006-01-15	22.3369944487341	"SI"
2006-01-16	22.8590446060045	"SI"
2006-01-17	22.9230773236426	"SI"
2006-01-18	24.1515888922729	"SI"
2006-01-19	22.5892818090631	"SI"
2006-01-20	23.3494087332767	"SI"
2006-01-21	22.5940275030164	"SI"
2006-01-22	22.7512074246211	"SI"
2006-01-23	21.9954548382741	"SI"
2006-01-24	21.886861255576	"SI"
2006-01-25	22.4884206944207	"SI"
2006-01-26	23.6218578456016	"SI"
2006-01-27	23.3638374043844	"SI"
2006-01-28	22.4379904195828	"SI"
2006-01-29	22.5954479345265	"SI"
2006-01-30	23.5215319996684	"SI"
2006-01-31	23.0580885972211	"SI"
2006-02-01	24.0765453204759	"SI"
2006-02-02	23.8169652837364	"SI"
2006-02-03	23.4444011494518	"SI"
2006-02-04	21.979098994973	"SI"
2006-02-05	22.0833333055929	"SI"
