"Dates"	"Value"	"Modif"
2005-11-09	305.832327589981	"SI"
2005-11-10	323.270734240614	"SI"
2005-11-11	235.239189660483	"SI"
2005-11-12	345.439811003043	"SI"
2005-11-13	334.106588589701	"SI"
2005-11-14	354.840565781979	"SI"
2005-11-15	315.946187808324	"SI"
2005-11-16	307.210301974209	"SI"
2005-11-17	322.323074173968	"SI"
2005-11-18	312.965588245977	"SI"
2005-11-19	296.229239434568	"SI"
2005-11-20	406.186789024194	"SI"
2005-11-21	377.593062206346	"SI"
2005-11-22	279.409339509818	"SI"
2005-11-23	269.700154524286	"SI"
2005-11-24	312.869870877464	"SI"
2005-11-25	402.294872326687	"SI"
2005-11-26	376.750141051596	"SI"
2005-11-27	385.747232824086	"SI"
2005-11-28	417.271448728657	"SI"
2005-11-29	402.390500732638	"SI"
2005-11-30	417.158978320374	"SI"
2005-12-01	434.593864437463	"SI"
2005-12-02	425.969090859444	"SI"
2005-12-03	427.20407060759	"SI"
2005-12-04	407.220203463952	"SI"
2005-12-05	341.384782427814	"SI"
2005-12-06	420.55743475818	"SI"
2005-12-07	429.395955271502	"SI"
2005-12-08	445.329067639265	"SI"
2005-12-09	425.956413031604	"SI"
2005-12-10	413.527833908775	"SI"
2005-12-11	453.505763007263	"SI"
2005-12-12	273.982817120507	"SI"
2005-12-13	359.857683828997	"SI"
2005-12-14	411.44910149775	"SI"
2005-12-15	410.309059218102	"SI"
2005-12-16	415.543580062839	"SI"
2005-12-17	423.280444117813	"SI"
2005-12-18	427.892446468968	"SI"
2005-12-19	398.479802102351	"SI"
2005-12-20	389.830249180774	"SI"
2005-12-21	335.70285143955	"SI"
2005-12-22	331.863551069898	"SI"
2005-12-23	327.060989283189	"SI"
2005-12-24	335.011600764788	"SI"
2005-12-25	305.187768327814	"SI"
2005-12-26	365.76934377653	"SI"
2005-12-27	405.661274663454	"SI"
2005-12-28	409.802926933313	"SI"
2005-12-29	334.4265612713	"SI"
2005-12-30	409.984613677318	"SI"
2005-12-31	416.316290126827	"SI"
2006-01-01	490.443420017451	"NO"
2006-01-02	447.92783959148	"NO"
2006-01-03	484.784977287572	"NO"
2006-01-04	316.368766339685	"NO"
2006-01-05	233.843412010802	"NO"
2006-01-06	270.663352538211	"NO"
2006-01-07	430.555715010488	"NO"
2006-01-08	454.423113291094	"NO"
2006-01-09	511.694105891522	"NO"
2006-01-10	519.097978762816	"NO"
2006-01-11	476.436796443397	"NO"
2006-01-12	513.974553025749	"NO"
2006-01-13	464.533626100062	"NO"
2006-01-14	418.323093833842	"NO"
2006-01-15	469.452443981537	"NO"
2006-01-16	450.07500089693	"NO"
2006-01-17	329.50459691045	"NO"
2006-01-18	458.46802058243	"NO"
2006-01-19	395.051048257606	"NO"
